CT_GEOID,pesticide_lbs,pesticide_lbs_mile2
53009000200,1203.574919,3.245301423
53009000300,92.89254579,4.044001383
53009000400,886.4262862,2.152474531
53009000600,370.4387708,0.880307153
53009940000,73.59971685,1.721818187
53027000200,1084.470182,8.476665874
53027000300,1242.502161,2.20760092
53027000400,3878.755721,15.26229754
53027000800,138.6505906,4.007267816
53027000900,26.55408423,2.881075896
53027001000,3.645059109,1.489540138
53027001100,0.488076552,0.215565091
53027001200,3.06579672,2.235208306
53027001300,18.59077788,1.143212226
53027001400,29.47736974,2.59079055
53027001500,39.72081805,3.829663781
53027001600,2137.767882,18.50296146
53027940000,548.3522573,1.755395093
53031950702,187.900912,0.120896501
53049950200,191.3663803,1.237516281
53049950300,737.1318878,5.072752694
53049950400,1011.768121,1.743444225
53049950500,601.1580397,24.01912641
53049950600,11.04009091,6.639153279
53049950700,84.21722349,7.090469876
53049950800,99.25484417,5.876549527
53011040101,536.5614946,3.967475848
53011040102,107.3380269,5.161587151
53011040201,673.4581977,28.94700528
53011040202,347.6180607,12.8034797
53011040203,367.2808694,15.40838931
53011040301,356.1673667,31.76900512
53011040302,358.5470364,15.42976751
53011040403,859.6238071,52.21001512
53011040407,28.75551015,12.98354081
53011040408,182.3006855,23.22938672
53011040409,41.2029197,12.88633097
53011040411,0.243170977,0.312253804
53011040412,4.251799914,2.798408113
53011040413,49.83985952,19.67335889
53011040414,63.16620802,12.86656925
53011040415,4.987890339,3.592844239
53011040416,50.17282367,6.451552676
53011040504,253.0386479,3.367386914
53011040505,132.8796823,8.604250961
53011040507,227.8955883,24.42203943
53011040508,5.70071538,2.272622717
53011040509,0.069086149,0.093094173
53011040510,245.3778047,13.38412279
53011040511,79.47688802,2.389360912
53011040603,440.6487261,20.54183278
53011040604,152.5332095,17.87358116
53011040605,513.9118632,61.23322615
53011040608,45.17474577,11.47841209
53011040609,3.338532789,2.664873365
53011040610,0.602738093,0.512499013
53011040703,1.199390986,0.641895599
53011040706,0.025122248,0.034411022
53011040707,0,0
53011040709,122.6175167,27.32023232
53011040710,225.6636283,21.04681219
53011040711,0.115523129,0.149721687
53011040712,1.295257237,1.153979169
53011040803,0.310920794,0.213341645
53011040805,69.15921006,13.96269324
53011040806,4.314772755,3.197588841
53011040808,4.947695659,3.464453253
53011040809,0.014595755,0.0165082
53011040810,1.139058622,1.315805006
53011040904,5.015287184,3.06430722
53011040905,364.7190979,35.81441687
53011040907,4.96684942,2.208296856
53011040908,0.604244511,0.356797869
53011040909,1.274355651,0.785872598
53011040910,35.17967024,13.09532362
53011041003,1.692275379,1.279085539
53011041005,759.5621593,48.90858834
53011041007,0,0
53011041008,0.012561117,0.01267131
53011041009,0,0
53011041010,0.018841677,0.013641683
53011041011,3.69050079,2.427125444
53011041104,0.01256112,0.017025842
53011041105,0.364272441,0.204919187
53011041107,0,0
53011041108,0.100488948,0.081333175
53011041110,0.031402799,0.02623767
53011041111,0.012561117,0.043505781
53011041112,0.054313744,0.061681785
53011041201,0.00628056,0.003968019
53011041203,0.012561117,0.008328852
53011041205,1.9213026,2.015857354
53011041206,0.018055068,0.015064593
53011041309,0.018841677,0.015946996
53011041310,0.02455491,0.018384073
53011041312,5.328696336,4.937386025
53011041313,0,0
53011041317,0.410527629,0.361694011
53011041318,2.013085449,1.502641614
53011041319,0,0
53011041320,0,0
53011041321,8.119173168,5.131704705
53011041322,0,0
53011041323,0,0
53011041325,3.329901691,1.818949542
53011041326,26.75300733,19.89289548
53011041327,39.35621757,13.99048684
53011041328,11.41176824,5.388128212
53011041329,0.841241664,0.682548814
53011041330,0,0
53011041331,0,0
53011041332,0,0
53011041333,0,0
53011041400,5.233372863,1.581832904
53011041500,1.708755374,1.174498511
53011041600,1.67264586,1.608351834
53011041700,0,0
53011041800,0,0
53011041900,0,0
53011042000,0,0
53011042100,0.110985266,0.218445004
53011042300,0,0
53011042400,0,0
53011042500,0,0
53011042600,0.225923553,0.080886627
53011042700,0,0
53011042800,0,0
53011042900,0.750917834,1.231961186
53011043000,0,0
53011043100,0.01256112,0.011088847
53015000300,341.423512,34.58088867
53015000400,0.035591295,0.03976703
53015000501,0,0
53015000502,0,0
53015000601,0.082599163,0.169482678
53015000602,0,0
53015000702,5.204362234,4.525098067
53015000703,20.06806464,10.15923919
53015000704,18.58875845,7.265341134
53015000800,28.40722387,4.607793219
53015000900,28.55014955,5.37282042
53015001000,0.071182613,0.234630273
53015001100,3.562381351,1.388769006
53015001200,44.96102966,5.784673653
53015001300,9.216640923,2.392744435
53015001501,1209.549226,7.423991808
53015001502,8672.112364,310.5354321
53015001600,514.5831708,12.48618743
53015001700,1152.757265,7.580307904
53015001800,2801.343418,6.279609988
53015001900,834.8143069,7.384366756
53015002001,1225.460649,13.83090293
53015002002,1498.236842,19.8711094
53015002100,0.230894096,0.172106283
53027000500,600.7563575,11.34009695
53027000600,149.2831548,3.884708995
