,GEOID10,n_loans,n_homes,n_hcl,per_hcl,rank_hcl
107,53053072507,197,1322,1,0.005076142,0.013258897
108,53053072409,167,1011,5,0.02994012,0.175157013
109,53053071406,791,2469,109,0.137800253,0.829030007
110,53053073126,408,1017,78,0.191176471,0.93859037
111,53053073408,335,1552,31,0.092537313,0.640614096
112,53053073406,240,1237,24,0.1,0.676901605
113,53053073121,495,1620,62,0.125252525,0.782274948
114,53053071310,691,1711,100,0.1447178,0.843684578
115,53053071309,290,1592,44,0.151724138,0.866713189
116,53053940004,381,2624,38,0.099737533,0.674808095
117,53053071206,480,2111,50,0.104166667,0.69923238
118,53053062300,434,1728,93,0.214285714,0.965806001
119,53053060200,68,129,4,0.058823529,0.433356595
120,53053060904,283,1539,20,0.070671378,0.516399163
121,53053061002,172,962,15,0.087209302,0.614794138
122,53053061001,291,1327,23,0.079037801,0.564549895
123,53053070312,655,1797,45,0.06870229,0.503140265
124,53053940003,452,1793,63,0.139380531,0.831123517
125,53053073120,322,1393,42,0.130434783,0.802512212
126,53053073122,663,1297,97,0.146304676,0.852756455
127,53053073405,160,867,25,0.15625,0.875785066
128,53053073407,212,1146,29,0.136792453,0.82623866
129,53053073124,231,1256,32,0.138528139,0.83042568
130,53053070703,411,1829,46,0.111922141,0.731332868
131,53053071306,469,2305,53,0.113006397,0.738311235
132,53053073301,275,1793,29,0.105454545,0.7034194
133,53053060700,338,2163,11,0.032544379,0.198185625
134,53053072310,192,1169,11,0.057291667,0.41730635
135,53053072000,108,1596,17,0.157407407,0.878576413
136,53053073118,262,1634,24,0.091603053,0.636427076
137,53053073500,611,2762,37,0.060556465,0.445219819
138,53053061900,145,685,21,0.144827586,0.844382415
139,53053070310,466,1723,70,0.150214592,0.863224006
140,53053071602,398,1999,63,0.158291457,0.879972087
141,53053071305,165,1252,36,0.218181818,0.968597348
142,53053073117,197,1476,23,0.116751269,0.752267969
143,53053072505,1051,2946,40,0.038058991,0.261688765
144,53053940005,467,1978,58,0.124197002,0.777390091
145,53053060500,261,1694,14,0.053639847,0.393579902
146,53053060905,287,1740,19,0.066202091,0.488485694
147,53053060906,131,831,5,0.038167939,0.263084438
148,53053060903,195,1163,8,0.041025641,0.291695743
149,53053060400,302,1750,14,0.046357616,0.331472435
150,53053063100,407,1597,78,0.191646192,0.939288207
151,53053070205,150,1217,17,0.113333333,0.739706909
152,53053071207,306,1298,32,0.104575163,0.699930216
153,53053063200,502,1903,100,0.199203187,0.949755757
154,53053071505,325,1900,71,0.218461538,0.969295185
155,53053070311,449,1608,57,0.126948775,0.787857641
156,53053940009,481,996,14,0.029106029,0.166085136
157,53053940008,386,1792,23,0.059585492,0.439637125
158,53053070204,250,1356,48,0.192,0.94068388
159,53053071304,463,1892,54,0.11663067,0.751570133
160,53053071707,210,907,48,0.228571429,0.979762736
161,53053070203,1960,1945,88,0.044897959,0.324494068
162,53053071100,110,949,9,0.081818182,0.58060014
163,53053940001,196,1192,14,0.071428571,0.521981856
164,53053071205,309,1859,24,0.077669903,0.552686671
165,53053071208,489,2663,57,0.116564417,0.750872296
166,53053062400,458,2098,67,0.14628821,0.852058618
167,53061041810,166,713,17,0.102409639,0.687369156
168,53061051924,352,1735,12,0.034090909,0.217027216
169,53061051922,462,1598,16,0.034632035,0.228192603
170,53061051921,363,1352,13,0.035812672,0.23935799
171,53061051926,517,1688,26,0.050290135,0.368457781
172,53061052115,490,2274,18,0.036734694,0.244940684
173,53061052114,286,1624,10,0.034965035,0.23307746
174,53061052209,158,697,17,0.107594937,0.713189114
175,53061052709,259,1225,28,0.108108108,0.716678297
176,53061053604,717,1607,88,0.122733612,0.774598744
177,53061053603,285,1579,20,0.070175439,0.513607816
178,53061052906,439,1541,47,0.107061503,0.71179344
