"County Name","County","Cumulative Smoke Score (2016-2022)"
"n/a","State Total","2289"
"Clark","53011041900","3111.1"
"Clark","53011042000","3111.1"
"Clark","53011042100","3111.1"
"Clark","53011042300","3111.7"
"Clark","53011042400","3111.7"
"Clark","53011042500","3111.7"
"Clark","53011042600","3113.6"
"Clark","53011042700","3113.6"
"Clark","53011042800","3113.6"
"Clark","53011042900","3113.6"
"Clark","53011043000","3113.6"
"Clark","53011043100","3113.6"
"Columbia","53013960200","2740.6"
"Cowlitz","53015000300","1413.2"
"Cowlitz","53015000400","1393.1"
"Cowlitz","53015000501","1393.1"
"Cowlitz","53015000502","1393.1"
"Cowlitz","53015000601","1391"
"Cowlitz","53015000602","1393.1"
"Cowlitz","53015000702","1389.6"
"Cowlitz","53015000703","1389.6"
"Cowlitz","53015000704","1389.6"
"Cowlitz","53015000800","1391"
"Cowlitz","53015000900","1393.1"
"Cowlitz","53015001000","1393.1"
"Cowlitz","53015001100","1413.2"
"Cowlitz","53015001200","1413.2"
"Cowlitz","53015001300","1393.1"
"Cowlitz","53015001501","1930.5"
"Cowlitz","53015001502","1855.4"
"Cowlitz","53015001600","1443.2"
"Cowlitz","53015001700","1408.6"
"Cowlitz","53015001800","1310.7"
"Cowlitz","53015001900","1356.8"
"Cowlitz","53015002001","1316.8"
"Cowlitz","53015002002","1355.9"
"Cowlitz","53015002100","1393.1"
"Douglas","53017950100","5712.8"
"Douglas","53017950200","6174.1"
"Douglas","53017950300","5328.7"
"Douglas","53017950400","5640.6"
"Douglas","53017950500","5640.6"
"Douglas","53017950600","5638.1"
"Douglas","53017950700","5644"
"Douglas","53017950800","5498.5"
"Ferry","53019940000","3537.7"
"Ferry","53019970100","5155.6"
"Ferry","53019970200","5184"
"Franklin","53021020100","2899.7"
"Franklin","53021020200","2910.8"
"Franklin","53021020300","2910.8"
"Franklin","53021020400","2910.8"
"Franklin","53021020501","2910.8"
"Franklin","53021020502","2910.8"
"Franklin","53021020601","2919.2"
"Franklin","53021020603","2910.8"
"Franklin","53021020605","2910.8"
"Franklin","53021020606","2918.2"
"Franklin","53021020700","2888.3"
"Franklin","53021020800","2907.6"
"Franklin","53021980100","2910.8"
"Garfield","53023970300","2720.6"
"Grant","53025010100","3023.5"
"Grant","53025010200","3090.7"
"Grant","53025010300","3107.7"
"Grant","53025010400","3518.8"
"Grant","53025010500","4393.6"
"Grant","53025010600","4361"
"Grant","53025010700","3072.9"
"Grant","53025010800","3081.9"
"Grant","53025010901","3084.8"
"Grant","53025010902","3083.3"
"Grant","53025011000","3092.5"
"Grant","53025011100","3076"
"Grant","53025011200","3524.6"
"Grant","53025011300","3059.2"
"Grant","53025011401","3070.8"
"Grant","53025011402","3077.3"
"Grays Harbor","53027000200","1132"
"Grays Harbor","53027000300","1130"
"Grays Harbor","53027000400","1171.8"
"Grays Harbor","53027000500","1181.9"
"Grays Harbor","53027000600","1724.4"
"Grays Harbor","53027000700","1199.9"
"Grays Harbor","53027000800","1162.2"
"Grays Harbor","53027000900","1130"
"Grays Harbor","53027001000","1134.6"
"Grays Harbor","53027001100","1134.6"
"Grays Harbor","53027001200","1134.6"
"Grays Harbor","53027001300","1134.6"
"Grays Harbor","53027001400","1134.6"
"Grays Harbor","53027001500","1134.6"
