County Name,Census Tract,Life Expectancy,Lower CI,Upper CI
Clark,53011040909,81.52,79.56,83.48
Clark,53011040910,81.58,79.42,83.75
Clark,53011041003,80.41,78.24,82.58
Clark,53011041005,77.23,74.36,80.11
Clark,53011041007,79.05,77.34,80.77
Clark,53011041008,79.3,76.86,81.74
Clark,53011041009,77.88,75.52,80.25
Clark,53011041010,78.43,76.23,80.63
Clark,53011041011,79.09,77.1,81.08
Clark,53011041104,78.99,76.6,81.37
Clark,53011041105,80.38,78.61,82.15
Clark,53011041107,82.56,80.55,84.57
Clark,53011041108,79.92,78.29,81.54
Clark,53011041110,79.93,78.21,81.66
Clark,53011041111,75.15,72.15,78.16
Clark,53011041112,79.64,77.73,81.55
Clark,53011041201,79.72,78.18,81.26
Clark,53011041203,82.57,80.86,84.28
Clark,53011041205,81.29,79.38,83.19
Clark,53011041206,78.17,76.65,79.68
Clark,53011041309,78.5,76.93,80.06
Clark,53011041310,82.27,80.12,84.41
Clark,53011041312,83.52,81,86.04
Clark,53011041313,78.82,76.12,81.52
Clark,53011041317,75.89,74.07,77.72
Clark,53011041318,79.39,77.82,80.95
Clark,53011041319,79.19,77.81,80.57
Clark,53011041320,78.24,76.77,79.72
Clark,53011041321,77.18,74.73,79.64
Clark,53011041322,77.99,76.17,79.81
Clark,53011041323,80.06,78.27,81.86
Clark,53011041325,85.01,83.6,86.42
Clark,53011041326,79.11,76.79,81.42
Clark,53011041327,79.81,78.31,81.32
Clark,53011041328,84.03,82.51,85.55
Clark,53011041329,84.86,83.15,86.57
Clark,53011041330,76.72,74.91,78.53
Clark,53011041331,79.94,77.32,82.57
Clark,53011041332,76.7,74.75,78.66
Clark,53011041333,79.25,77.34,81.16
Clark,53011041400,80.22,78.64,81.81
Clark,53011041500,79.01,76.59,81.43
Clark,53011041600,78.95,76.17,81.74
Clark,53011041700,78.31,76.17,80.46
Clark,53011041800,79.1,76.68,81.52
Clark,53011041900,78.56,75.87,81.25
Clark,53011042000,83.05,79.55,86.55
Clark,53011042100,82.68,80.08,85.27
Clark,53011042300,81.95,79.21,84.68
Clark,53011042400,79.07,76.6,81.53
Clark,53011042500,80.5,76.97,84.02
