"cause","exposure","mean","lower","upper"
"cvd_ihd",0,1,1,1
"cvd_ihd",0.1,1.00175253498951,1.00129476398742,1.00220403444015
"cvd_ihd",0.2,1.00350521748739,1.0025890064507,1.00440918007597
"cvd_ihd",0.3,1.00525803854815,1.00388272199024,1.00661542450903
"cvd_ihd",0.4,1.00701098921543,1.0051759052066,1.00882275531203
"cvd_ihd",0.5,1.00876406052208,1.00646855070059,1.01103116002897
"cvd_ihd",0.6,1.01051724349022,1.00776065307327,1.0132406261752
"cvd_ihd",0.7,1.01227052913138,1.00905220692603,1.01545114123766
"cvd_ihd",0.8,1.01402390844654,1.01034320686061,1.01766269267492
"cvd_ihd",0.9,1.01577737242628,1.01163364747915,1.01987526791737
"cvd_ihd",1,1.01753091205081,1.01292352338423,1.02208885436737
"cvd_ihd",1.1,1.0192845182901,1.01421282917894,1.02430343939931
"cvd_ihd",1.2,1.02103818210396,1.01550155946689,1.02651901035982
"cvd_ihd",1.3,1.02279189444211,1.01678970885228,1.0287355545679
"cvd_ihd",1.4,1.02454564624434,1.01807727193993,1.030953059315
"cvd_ihd",1.5,1.02629942844051,1.01936424333533,1.03317151186524
"cvd_ihd",1.6,1.02805323195071,1.02065061764469,1.0353908994555
"cvd_ihd",1.7,1.02980704768532,1.02193638947497,1.03761120929554
"cvd_ihd",1.8,1.03156086654511,1.02322155343394,1.03983242856822
"cvd_ihd",1.9,1.03331467942136,1.02450610413022,1.04205454442955
"cvd_ihd",2,1.03506847719591,1.02579003617331,1.04427754400889
"cvd_ihd",2.1,1.03682225074155,1.02707334417389,1.04650141440946
"cvd_ihd",2.2,1.03857599092562,1.02835602274633,1.04872614271285
"cvd_ihd",2.3,1.04032968860894,1.02963806650798,1.05095171597776
"cvd_ihd",2.4,1.04208333464336,1.03091947007729,1.05317812123695
"cvd_ihd",2.5,1.04383691987183,1.03220022807387,1.05540534549726
"cvd_ihd",2.6,1.04559043512851,1.03348033511849,1.05763337573984
"cvd_ihd",2.7,1.04734387123879,1.03475978583319,1.05986219892023
"cvd_ihd",2.8,1.04909721901948,1.03603857484123,1.06209180196855
"cvd_ihd",2.9,1.05085046927885,1.03731669676723,1.06432217178962
"cvd_ihd",3,1.05260361281671,1.03859414623715,1.06655329526311
"cvd_ihd",3.1,1.05435664044418,1.03987091789265,1.06878515926869
"cvd_ihd",3.2,1.05610954339673,1.04114700669167,1.07101775121231
"cvd_ihd",3.3,1.05786231332741,1.04242240790276,1.07325105901872
"cvd_ihd",3.4,1.05961494190471,1.04369711681189,1.0754850706198
"cvd_ihd",3.5,1.06136742079519,1.04497112870982,1.07771977393258
"cvd_ihd",3.6,1.06311974166356,1.04624443889209,1.07995515685929
"cvd_ihd",3.7,1.0648718961728,1.04751704265908,1.08219120728759
"cvd_ihd",3.8,1.06662387598421,1.04878893531603,1.08442791309071
"cvd_ihd",3.9,1.06837567275755,1.05006011217312,1.08666526212758
